云羿-短视频	咨询、领攻略/资料请到“宫粽呺”【云羿副业】	IP 属地湖南	我就是这么成功的[捂脸]	1680255761	0	0

学习使我快乐	无	IP 属地浙江	同样，注册不可用	1680268855	0	0

既明	无	IP 属地重庆	现在还能注册吗？我这里显示目前不可注册了	1680259666	0	0

星子-	无	IP 属地河北	我直接买了个，几块钱而已[害羞]	1680283438	0	0

Asgard丶	闲得慌	IP 属地河北	<p>官网好像现在不让注册了，还是直接买一个吧</p>	1680272409	0	0

Asgard丶	闲得慌	IP 属地河北	什么	1680275171	0	0

云羿-短视频	咨询、领攻略/资料请到“宫粽呺”【云羿副业】	IP 属地湖南	M HAO	1680276890	0	0

power	无	IP 属地浙江	为什么我那个买虚拟号的网站最少要冲2美元。。。	1680270422	0	0

囧天使	无	IP 属地天津	<p>虚拟号码平台还说你输入的密码和账户名不匹配</p>	1680254215	0	0

云羿-短视频	咨询、领攻略/资料请到“宫粽呺”【云羿副业】	IP 属地湖南	刷新下	1680256364	0	0

囧天使	无	IP 属地天津	<p>试了qq邮箱，告诉我Too many signups from the same IP，是不是还得的等等。</p>	1680254087	0	0

奇葩下棋啦	就是一个下围棋的女孩子而已啦～	IP 属地湖北	我的邮箱也不通过[捂脸]	1680267183	0	0

power	无	IP 属地浙江	同样的问题，好像现在QQ邮箱不行了，其他邮箱有途径吗	1680254896	0	0

稻子	想要给你看山那一边的美丽景色	IP 属地北京	<p>那是你个人习惯的问题，你的信任度重要来源之一是数量</p>	1679967642	0	0

仲尼	产品/设计/Ai	IP 属地北京	<p>你的意思是知乎的价值在于分享体验，而非知识。知乎自己原来可能不是这样想的[发呆]</p>	1679640080	0	0

三日月 綾香	心事を將て　瑤琴に付さんと欲すれど	IP 属地新加坡	<p>因为写在回答里会被屏蔽，所以在评论区统一回复一下：我是最早的 Pro 用户，当时是可以买到的，关于 Plus 和免费版的不同可以看我的这篇文章：<a href="https://www.zhihu.com/question/580301521/answer/2860161764" class="internal"><span class="invisible">https://www.</span><span class="visible">zhihu.com/question/5803</span><span class="invisible">01521/answer/2860161764</span><span class="ellipsis"></span></a></p>	1676031845	0	11

邓兰英brendon4g4hph	无	IP 属地中国香港	<p>感谢，很有用的分享，已经点赞收藏！彗星rahoho，可以帮搞不定的小伙伴升级plus~在那个你最常用的聊天软件上搜下</p>	1678241712	0	0

临客	无	IP 属地四川	这文章怎么给人一种gptchat写的的感觉	1676027537	0	44

baron aron	无	IP 属地四川	“由于我的代码水平很高”[大笑]	1675937013	0	30

我淡如菊	无	IP 属地上海	作为一个呆过国内外Top3科技公司的程序员，我也是第一次听人敢说这句话[飙泪笑]	1676044649	0	14

baron aron	无	IP 属地四川	<p>Top3一般是第三，那我们可能还是前同事，哈哈</p>	1676089442	0	4

codec2021	不以物喜，不以己悲	IP 属地上海	好一个，由于我的代码水平很高。	1675947173	0	10

张一零	阶级跌落以后，我成了AI。	IP 属地日本	<p>非常有同感，尤其是第二和第三项，因为之前就是在做这两个方向的NLP的工作的，所以去年底的时候感受特别震撼。</p>	1675922766	0	7

沉默的知了	等在地下	IP 属地浙江	这不是用gpt写的我直播吃屎	1676088339	0	4

anchen	IT狗	IP 属地澳大利亚	简直就是非母语码农神器	1675950384	0	4

莫嚳	mɔk̚˨ kʊk̚˥ 對萬事萬物都充滿好奇。	IP 属地美国	好評！車已上。綾香叻叻[赞同][赞同]	1675917642	0	3

Aquato	无	IP 属地四川	国内master卡也支付不了[大哭]	1676023919	0	2

从零	目前的追求是自由和健康。	IP 属地四川	我能看到这篇文章～	1676085158	0	1

Jason Chen	对人随缘，对事随心	IP 属地广东	<p>现在怎样可以订阅成为plus？</p>	1676131517	0	1

胡晓波	公众号和微博：配方师Rex。评论基本不看，私信或者付费咨询。	IP 属地上海	国外虚拟信用卡就行	1676165502	0	0

江湖骗子	无	IP 属地上海	deepL我连不上了，谁知道原因吗	1679095110	0	0

余谦	国际贸易	IP 属地印度	我看这文字感觉就不是中国人，甚至还是ChatGPT翻译过的感觉……[捂脸][捂脸]<br>主要是几乎没有什么口头语。	1678795680	0	0

余谦	国际贸易	IP 属地印度	但是回答的言语间真是感觉没有感情的样子……<br>要不就是老外写的，要不就是ai写的[捂脸][捂脸]	1678813907	0	1

三日月 綾香	心事を將て　瑤琴に付さんと欲すれど	IP 属地冰岛	<p>被开除国籍了 [笑哭] 就是我自己写的，我是深圳人</p>	1678801362	0	0

好几年前	无	IP 属地广东	<p>好厉害</p>	1677078103	0	0

企鹅酥	计算机菜鸟	IP 属地印度	<p>[赞同]</p>	1676476680	0	0

DarkDuck	知识分享	IP 属地安徽	<p>给答主补充一点：<a href="http://link.zhihu.com/?target=http%3A//TeroBox.com" class=" external" target="_blank" rel="nofollow noreferrer"><span class="invisible">http://</span><span class="visible">TeroBox.com</span><span class="invisible"></span></a>上共享了一个Plus订阅账号，国内用户可以试一试</p>	1676340764	0	0

猪乎	无	IP 属地广东	还是有点贵啊，付费版为何不出多点套餐，按时按月按次数之类的啊[捂脸][捂脸][捂脸][捂脸]方便零散使用者嘛	1676165473	0	0

三日月 綾香	心事を將て　瑤琴に付さんと欲すれど	IP 属地新加坡	<p>相比于它能创造的价值来说，20 美元很便宜了</p>	1676180775	0	2

我淡如菊	无	IP 属地上海	听说LLM会导致大量的NLP研究者失业，答主怎么看？[飙泪笑]	1676044357	0	0

三日月 綾香	心事を將て　瑤琴に付さんと欲すれど	IP 属地新加坡	<p>作为 NLP 研究者和语言爱好者，我的目标一直是更好地处理语言，所以我一直希望 NLP 技术不断发展，解决更多以前解决不了的 NLP 问题</p>	1676049472	0	2

宝藏女孩	一个有趣的灵魂	IP 属地贵州	关键是正常情况下国内用不到	1676104285	0	0

真的可怕	无	IP 属地吉林	请问一下第一种能不能举个例子呀[大笑]	1676028375	0	0

赵玉龙	文学	IP 属地安徽	plus可以处理多少行数据啊	1676116146	0	0

M猫小森	喜欢听歌，喜欢安静。	IP 属地广西	用来玩玩挺不错的	1676063142	0	0

